Pair,1 Rus,2 Chn,3 USA,4 Fra,5 Pol,6 Can,7 Ukr,8 Ger,9 Jap
1 BS-Rus ST,58,58,57,58,58,58,58,58,57
1 BS-Rus SA,58,58,58,58,59,58,58,58,58
1 BS-Rus FT,58,58,57,58,57,57,58,58,57
1 BS-Rus FA,59,59,59,59,59,58,59,58,59
2 SP-Can ST,57,57,56,57,58,58,57,58,56
2 SP-Can SA,58,59,58,58,58,59,58,59,58
2 SP-Can FT,58,59,58,58,58,59,58,59,58
2 SP-Can FA,58,58,59,58,58,59,58,59,59
3 SZ-Chn ST,57,58,56,57,57,57,56,57,56
3 SZ-Chn SA,57,57,57,57,56,56,57,56,55
3 SZ-Chn FT,57,57,58,58,57,57,57,57,57
3 SZ-Chn FA,57,58,58,57,57,57,58,57,57
4 TM-Rus ST,56,56,54,56,56,56,56,54,54
4 TM-Rus SA,56,57,55,56,56,54,56,55,55
4 TM-Rus FT,58,56,56,57,56,55,55,55,56
4 TM-Rus FA,56,56,56,56,56,54,57,55,57
5 IZ-USA ST,55,54,53,55,55,55,55,55,55
5 IZ-USA SA,57,56,56,56,56,56,57,56,55
5 IZ-USA FT,55,56,57,56,54,55,56,56,55
5 IZ-USA FA,57,57,58,56,56,57,56,57,57
6 PT-Rus ST,55,55,54,56,55,55,55,54,55
6 PT-Rus SA,56,55,54,57,55,54,56,54,56
6 PT-Rus FT,57,55,55,55,54,56,55,55,55
6 PT-Rus FA,56,55,54,55,55,54,56,54,56
7 ZS-Pol ST,50,50,49,50,48,48,48,47,49
7 ZS-Pol SA,54,54,53,55,54,54,55,52,54
7 ZS-Pol FT,54,56,55,54,54,54,55,54,56
7 ZS-Pol FA,55,55,55,55,54,55,55,53,56
8 BD-Cze ST,51,52,49,52,53,50,49,52,50
8 BD-Cze SA,54,53,51,53,54,51,49,54,51
8 BD-Cze FT,52,54,52,53,52,53,52,53,53
8 BD-Cze FA,54,55,53,54,54,54,54,53,55
9 PT-Chn ST,51,50,48,50,48,48,50,50,49
9 PT-Chn SA,53,53,53,53,50,51,51,53,51
9 PT-Chn FT,54,55,53,54,52,53,53,54,52
9 PT-Chn FA,53,54,52,54,52,51,53,52,52
10 LF-Can ST,47,49,46,46,45,44,45,44,46
10 LF-Can SA,50,53,50,51,50,50,49,47,51
10 LF-Can FT,51,53,48,52,52,52,51,50,50
10 LF-Can FA,53,53,50,53,53,53,52,50,52
11 ZZ-Chn ST,52,53,53,52,53,50,52,53,52
11 ZZ-Chn SA,50,51,50,50,53,48,48,52,50
11 ZZ-Chn FT,52,52,51,51,51,52,51,51,52
11 ZZ-Chn FA,51,49,47,49,50,49,49,49,50
12 LA-Can ST,46,46,44,47,43,45,42,48,45
12 LA-Can SA,51,51,51,53,48,51,48,52,51
12 LA-Can FT,50,50,51,52,51,51,50,52,51
12 LA-Can FA,52,52,52,52,52,52,51,52,52
13 SD-USA ST,46,45,46,45,44,45,44,45,46
13 SD-USA SA,53,52,52,52,51,52,50,50,53
13 SD-USA FT,49,49,49,49,47,48,46,48,50
13 SD-USA FA,52,52,53,50,50,51,49,51,53
14 KJ-Ger ST,49,49,49,44,46,47,44,45,49
14 KJ-Ger SA,49,51,49,47,47,48,44,47,50
14 KJ-Ger FT,46,49,46,46,47,45,48,48,49
14 KJ-Ger FA,47,51,46,47,47,45,49,46,50
15 SM-Ukr ST,49,45,46,47,47,44,43,42,44
15 SM-Ukr SA,51,50,48,50,51,50,46,47,48
15 SM-Ukr FT,48,47,47,47,48,47,48,49,48
15 SM-Ukr FA,50,47,46,48,50,46,48,50,48
16 CP-Ukr ST,48,46,48,45,47,46,45,44,46
16 CP-Ukr SA,49,50,50,48,49,49,48,48,49
16 CP-Ukr FT,45,45,46,46,46,46,46,46,46
16 CP-Ukr FA,44,46,44,46,46,44,47,45,47
17 BB-Svk ST,39,41,39,41,40,37,39,38,36
17 BB-Svk SA,44,45,44,45,45,41,44,43,41
17 BB-Svk FT,40,43,43,43,41,42,40,41,43
17 BB-Svk FA,42,43,43,44,42,41,43,41,42
18 PS-Uzb ST,38,38,40,39,34,38,34,31,29
18 PS-Uzb SA,43,43,45,45,43,43,41,40,39
18 PS-Uzb FT,41,43,41,42,41,43,40,42,40
18 PS-Uzb FA,42,42,40,43,41,43,41,42,39
19 CP-Ita ST,36,37,36,40,35,38,36,34,36
19 CP-Ita SA,42,40,42,42,42,42,42,41,42
19 CP-Ita FT,41,40,40,41,39,38,41,40,41
19 CP-Ita FA,41,41,39,42,40,37,42,39,41
20 KZ-Arm ST,35,34,35,32,35,34,33,32,32
20 KZ-Arm SA,40,39,40,38,40,38,40,38,37
20 KZ-Arm FT,39,39,38,38,39,37,39,39,39
20 KZ-Arm FA,38,38,38,38,38,36,40,37,39
